TIPO_VENTA,DOCUMENTO,CORRELATIVO,CODIGO,RAZON_SOCIAL,TIPO_CLIENTE,SKU,ARTICULO,G_PROVEEDOR,ACCTCODEN2,N1,N11,N2,N21,N3,N31,N4,N41,COMERCIAL,ALM,CANT,U#M#,T/C,COSTO,C_TOTAL,P_UNIT,P_TRAS_DESC,V_TOTAL,UTILIDAD
Venta Stock,01 - FACTURA,F001-0023856,C000034,ECUABARNICES S.A.,Nacional,A000584,BYK 399 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,907,50,KG,1,"12,76",638,18,18,900,262
Venta Stock,01 - FACTURA,F001-0023856,C000034,ECUABARNICES S.A.,Nacional,A000183,DISPERBYK 111 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,907,25,KG,1,"22,886","572,15",31,31,775,"202,85"
Venta Stock,01 - FACTURA,F001-0025866,C000088,MEGAPINTURAS CIA. LTDA,Nacional,A001108,DIOXIDO TITANIO KRONOS 2190 - 25 KG,KRONOS,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"3,759","93,975","3,19","3,19","79,75","-14,225"
Venta Stock,01 - FACTURA,F001-0025857,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A000360,NATROSOL 250 HBR - 22.680 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,"45,36",KG,1,"6,248","283,40928","8,65","8,65","392,364","108,95472"
Venta Stock,01 - FACTURA,F001-0025857,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A000142,BYK 066N - 155 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,16,KG,1,"10,576","169,216","18,9","18,9","302,4","133,184"
Venta Stock,01 - FACTURA,F001-0025857,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A001102,RHEOBYK 410 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"20,012","500,3","25,8","25,8",645,"144,7"
Venta Stock,01 - FACTURA,F001-0025857,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A000954,DCC GREEN 4407 - 25 KG,DCL,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"10,49","262,25","12,9","12,9","322,5","60,25"
Venta Stock,01 - FACTURA,F001-0025846,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A001088,CLAYTONE AF - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,40,KG,1,"4,829","193,16","5,5","5,5",220,"26,84"
Venta Stock,01 - FACTURA,F001-0025846,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A001225,CLAYTONE APA - 12.5 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,"37,5",KG,1,"5,174","194,025","8,95","8,95","335,625","141,6"
Venta Stock,01 - FACTURA,F001-0025846,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A001504,SINCOL PR 170 3128-001 - 25 KG,SINCOL,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,50,KG,1,"10,869","543,45","13,99","13,99","699,5","156,05"
